CGG_NM,STDG_NM,BLDG_USG,평균전세가_만원,거래건수
중구,장충동1가,아파트,450000.0,1
종로구,신문로2가,아파트,280000.0,1
중구,회현동2가,아파트,179200.0,5
용산구,한남동,아파트,170007.3,117
용산구,용산동5가,아파트,155992.4,33
서초구,반포동,아파트,155695.4,829
용산구,한강로3가,아파트,154993.0,101
마포구,하중동,아파트,140170.0,20
종로구,내수동,아파트,132300.0,15
중구,회현동1가,아파트,124671.4,14
강남구,도곡동,아파트,124413.3,603
용산구,용산동5가,오피스텔,122750.0,2
용산구,동자동,아파트,121810.7,14
종로구,홍파동,아파트,120860.0,48
종로구,사직동,아파트,119110.5,19
강남구,청담동,아파트,118508.5,322
용산구,한강로2가,아파트,117728.4,58
서초구,잠원동,아파트,117006.0,777
강남구,세곡동,연립다세대,116796.2,13
강남구,대치동,아파트,116057.5,951
종로구,평동,아파트,114164.9,39
중구,남대문로5가,아파트,114000.0,4
강남구,압구정동,아파트,112819.1,439
마포구,서교동,아파트,112753.1,52
강남구,삼성동,아파트,110564.9,452
서초구,방배동,아파트,102839.4,597
송파구,잠실동,아파트,102505.1,1237
마포구,용강동,아파트,102030.5,64
용산구,서빙고동,아파트,101650.8,63
서초구,서초동,아파트,99436.1,1102
성동구,성수동1가,아파트,96916.6,397
용산구,신계동,아파트,96556.8,53
마포구,상수동,아파트,95600.0,54
송파구,신천동,아파트,94865.5,654
강남구,일원동,아파트,93773.6,408
강남구,역삼동,아파트,93710.0,595
강남구,개포동,아파트,92914.0,936
용산구,한강로1가,아파트,91912.5,16
종로구,충신동,아파트,89750.0,8
용산구,한남동,연립다세대,89520.7,58
성동구,상왕십리동,아파트,87475.8,65
마포구,염리동,아파트,87454.5,210
동작구,동작동,아파트,87347.4,57
강남구,도곡동,오피스텔,86291.7,26
마포구,아현동,아파트,86067.4,410
영등포구,여의도동,아파트,85320.2,444
마포구,현석동,아파트,85233.6,91
용산구,원효로1가,아파트,85121.0,82
성동구,금호동4가,아파트,84943.0,245
송파구,가락동,아파트,84802.3,829
중구,충무로4가,아파트,84800.9,23
마포구,대흥동,아파트,84691.4,233
동작구,흑석동,아파트,84284.1,395
강남구,자곡동,연립다세대,84125.0,4
영등포구,당산동5가,아파트,83720.4,200
광진구,구의동,아파트,82579.6,360
마포구,신공덕동,아파트,82211.8,174
중구,만리동2가,아파트,82135.5,123
용산구,효창동,아파트,81897.3,129
종로구,청운동,연립다세대,81714.3,7
송파구,방이동,아파트,81338.3,361
성동구,옥수동,아파트,80799.8,511
성동구,하왕십리동,아파트,80617.3,395
강남구,신사동,아파트,80387.1,46
마포구,공덕동,아파트,80354.2,286
성동구,금호동2가,아파트,79796.3,221
광진구,광장동,아파트,79524.6,392
용산구,이촌동,아파트,79167.1,593
마포구,합정동,아파트,78923.1,32
마포구,신수동,아파트,78608.9,176
성동구,금호동1가,아파트,77643.1,280
종로구,무악동,아파트,77540.6,81
용산구,청암동,아파트,77500.0,2
종로구,인의동,아파트,77300.0,5
용산구,청파동3가,아파트,76500.0,3
